STNAM,LEANM,Math Sum Total,Math Sum Pct Prof,Math ECD Total,Math ECD Pct Prof,Math Pct ECD,Read Sum Total,Read Sum Pct Prof,Read ECD Total,Read ECD Pct Prof,Read Pct ECD,TotPop_x,KidPop_x,ChildPov_x,TotPop_y,KidPop_y,ChildPov_y
AL,Albertville City,2911.0,46,1183.0,35,41.0,2869.0,38,1162.0,28,41.0,,,,,,
AL,Marshall County,2952.0,40,2028.0,34,69.0,2938.0,36,2014.0,29,69.0,,,,,,
AL,Hoover City,7475.0,70,1981.0,45,27.0,7442.0,65,1963.0,41,26.0,,,,,,
AL,Madison City,5903.0,76,1186.0,53,20.0,5867.0,73,1182.0,49,20.0,,,,,,
AL,Leeds City,1063.0,45,531.0,34,50.0,1064.0,42,531.0,27,50.0,,,,,,
AL,Boaz City,1237.0,43,863.0,36,70.0,1234.0,39,861.0,29,70.0,,,,,,
AL,Trussville City,2567.0,76,257.0,60-64,10.0,2566.0,71,257.0,55-59,10.0,,,,,,
AL,Alexander City,1605.0,43,1022.0,32,64.0,1607.0,38,1023.0,26,64.0,,,,,,
AL,Andalusia City,926.0,48,566.0,36,61.0,925.0,49,566.0,37,61.0,,,,,,
AL,Anniston City,897.0,22,682.0,20,76.0,897.0,27,682.0,24,76.0,,,,,,
AL,Arab City,1403.0,72,539.0,58,38.0,1404.0,64,539.0,49,38.0,,,,,,
AL,Athens City,2231.0,50,1074.0,34,48.0,2211.0,51,1053.0,30,48.0,,,,,,
AL,Attalla City,783.0,40,545.0,36,70.0,782.0,42,544.0,37,70.0,,,,,,
AL,Saraland City,1651.0,69,806.0,60,49.0,1650.0,64,805.0,54,49.0,,,,,,
AL,Chickasaw City,604.0,19,460.0,17,76.0,609.0,22,465.0,21,76.0,,,,,,
AL,Satsuma City,828.0,54,329.0,46,40.0,828.0,54,329.0,44,40.0,,,,,,
AL,Alabaster City,3342.0,57,1343.0,42,40.0,3331.0,52,1332.0,37,40.0,,,,,,
AL,Pelham City,1768.0,50,741.0,32,42.0,1752.0,53,725.0,34,41.0,,,,,,
AL,Pike Road City,1075.0,48,219.0,25-29,20.0,1069.0,53,219.0,25-29,20.0,,,,,,
AL,Acceleration Day and Evening Academy,88.0,10-14,64.0,10-14,73.0,88.0,15-19,64.0,20-24,73.0,,,,,,
AL,University Charter School,153.0,35-39,76.0,20-24,50.0,153.0,45-49,76.0,25-29,50.0,,,,,,
AL,Auburn City,4681.0,72,1274.0,43,27.0,4636.0,64,1259.0,36,27.0,,,,,,
AL,Autauga County,4941.0,54,2481.0,39,50.0,4915.0,55,2477.0,40,50.0,,,,,,
AL,Baldwin County,17312.0,59,7721.0,44,45.0,17226.0,56,7650.0,41,44.0,,,,,,
AL,Barbour County,376.0,10,297.0,6-9,79.0,377.0,16,298.0,10-14,79.0,,,,,,
AL,Bessemer City,1857.0,21,1310.0,19,71.0,1839.0,22,1309.0,20,71.0,,,,,,
AL,Bibb County,1661.0,34,1089.0,26,66.0,1657.0,37,1087.0,28,66.0,,,,,,
AL,Birmingham City,11790.0,21,8165.0,17,69.0,11786.0,24,8184.0,19,69.0,,,,,,
AL,Blount County,3978.0,45,2135.0,38,54.0,3973.0,46,2133.0,38,54.0,,,,,,
AL,Brewton City,627.0,58,312.0,39,50.0,627.0,59,312.0,46,50.0,,,,,,
AL,Bullock County,770.0,18,580.0,15,75.0,769.0,17,581.0,14,76.0,,,,,,
AL,Butler County,1571.0,26,1350.0,22,86.0,1568.0,28,1347.0,24,86.0,,,,,,
AL,Calhoun County,4471.0,45,2745.0,36,61.0,4468.0,49,2741.0,40,61.0,,,,,,
AL,Chambers County,1806.0,36,873.0,26,48.0,1807.0,38,873.0,28,48.0,,,,,,
AL,Cherokee County,2036.0,46,1364.0,38,67.0,2037.0,41,1365.0,34,67.0,,,,,,
AL,Chilton County,4061.0,41,2722.0,35,67.0,4055.0,39,2717.0,32,67.0,,,,,,
AL,Choctaw County,659.0,23,434.0,21,66.0,658.0,25,433.0,21,66.0,,,,,,
AL,Clarke County,1222.0,39,654.0,30,54.0,1222.0,37,654.0,26,54.0,,,,,,
AL,Clay County,966.0,43,667.0,37,69.0,966.0,37,667.0,31,69.0,,,,,,
AL,Cleburne County,1293.0,49,772.0,42,60.0,1294.0,48,772.0,41,60.0,,,,,,
AL,Coffee County,1269.0,48,764.0,40,60.0,1266.0,47,761.0,40,60.0,,,,,,
AL,Colbert County,1347.0,37,1015.0,32,75.0,1342.0,38,1011.0,33,75.0,,,,,,
AL,Conecuh County,820.0,31,501.0,28,61.0,817.0,30,498.0,26,61.0,,,,,,
AL,Coosa County,474.0,29,252.0,25-29,53.0,473.0,34,250.0,30-34,53.0,,,,,,
AL,Covington County,1591.0,48,1002.0,40,63.0,1590.0,50,1002.0,44,63.0,,,,,,
AL,Crenshaw County,1181.0,41,539.0,33,46.0,1181.0,37,540.0,29,46.0,,,,,,
AL,Cullman City,1721.0,70,466.0,54,27.0,1718.0,66,463.0,48,27.0,,,,,,
AL,Cullman County,4951.0,54,2834.0,45,57.0,4950.0,48,2834.0,40,57.0,,,,,,
AL,Dale County,1673.0,60,1021.0,49,61.0,1672.0,53,1021.0,43,61.0,,,,,,
AL,Daleville City,546.0,27,427.0,27,78.0,533.0,36,414.0,32,78.0,,,,,,
AL,Dallas County,1603.0,30,1143.0,25,71.0,1603.0,29,1143.0,23,71.0,,,,,,
AL,DeKalb County,4672.0,37,2942.0,30,63.0,4631.0,35,2917.0,28,63.0,,,,,,
AL,Decatur City,4567.0,49,2779.0,39,61.0,4527.0,41,2759.0,30,61.0,,,,,,
AL,Demopolis City,1190.0,39,774.0,28,65.0,1187.0,40,773.0,27,65.0,,,,,,
AL,Dothan City,4802.0,42,3345.0,29,70.0,4787.0,42,3337.0,29,70.0,,,,,,
AL,Elba City,308.0,42,166.0,30-34,54.0,307.0,35,165.0,20-24,54.0,,,,,,
AL,Elmore County,5989.0,52,3200.0,42,53.0,5974.0,51,3192.0,39,53.0,,,,,,
AL,Enterprise City,3664.0,60,1595.0,43,44.0,3627.0,56,1564.0,38,43.0,,,,,,
AL,Escambia County,2255.0,44,1216.0,36,54.0,2258.0,43,1219.0,35,54.0,,,,,,
AL,Etowah County,4523.0,49,2300.0,41,51.0,4517.0,53,2297.0,44,51.0,,,,,,
AL,Eufaula City,3111.0,23,1904.0,18,61.0,3107.0,34,1907.0,26,61.0,,,,,,
AL,Fairfield City,812.0,20,640.0,19,79.0,813.0,19,641.0,18,79.0,,,,,,
AL,Fayette County,1177.0,42,727.0,34,62.0,1177.0,45,727.0,36,62.0,,,,,,
AL,Florence City,2210.0,56,958.0,40,43.0,2200.0,48,956.0,30,43.0,,,,,,
AL,Fort Payne City,1792.0,46,1175.0,36,66.0,1781.0,43,1165.0,31,65.0,,,,,,
AL,Franklin County,1888.0,38,622.0,32,33.0,1882.0,37,623.0,32,33.0,,,,,,
AL,Gadsden City,2561.0,42,1878.0,32,73.0,2551.0,41,1870.0,30,73.0,,,,,,
AL,Geneva City,676.0,53,363.0,41,54.0,675.0,50,363.0,40,54.0,,,,,,
AL,Geneva County,1375.0,54,933.0,49,68.0,1370.0,47,928.0,42,68.0,,,,,,
AL,Greene County,527.0,20,385.0,18,73.0,529.0,17,385.0,14,73.0,,,,,,
