STNAM,FIPST,LEAID,ST_LEAID,LEANM,ALL_COHORT_1819,ALL_RATE_1819,MAM_COHORT_1819,MAM_RATE_1819,MAS_COHORT_1819,MAS_RATE_1819,MBL_COHORT_1819,MBL_RATE_1819,MHI_COHORT_1819,MHI_RATE_1819,MTR_COHORT_1819,MTR_RATE_1819,MWH_COHORT_1819,MWH_RATE_1819,CWD_COHORT_1819,CWD_RATE_1819,ECD_COHORT_1819,ECD_RATE_1819,FCS_COHORT_1819,FCS_RATE_1819,HOM_COHORT_1819,HOM_RATE_1819,LEP_COHORT_1819,LEP_RATE_1819,DATE_CUR
ALABAMA,01,0100005,AL-101,Albertville City,375,94,,,8,GE50,15,GE50,173,90-94,4,PS,175,GE95,19,GE80,114,90-94,,,7,LT50,67,75-79,24JUL20
ALABAMA,01,0100006,AL-048,Marshall County,346,93,4,PS,,,1,PS,70,90-94,1,PS,270,90-94,27,60-79,195,90-94,1,PS,22,GE80,12,GE50,24JUL20
ALABAMA,01,0100007,AL-158,Hoover City,1074,95,,,67,GE95,273,GE95,67,80-84,48,GE90,619,96,74,65-69,214,85-89,1,PS,10,GE50,16,60-79,24JUL20
ALABAMA,01,0100008,AL-169,Madison City,875,97,4,PS,71,GE95,193,GE95,58,GE90,27,GE80,522,98,50,80-89,158,90-94,1,PS,9,GE50,17,GE80,24JUL20
ALABAMA,01,0100011,AL-167,Leeds City,110,GE95,1,PS,3,PS,23,GE80,10,GE50,4,PS,69,90-94,10,GE50,41,GE90,,,,,3,PS,24JUL20
ALABAMA,01,0100012,AL-115,Boaz City,168,90-94,1,PS,,,2,PS,54,80-89,3,PS,108,90-94,10,GE50,94,80-84,1,PS,2,PS,18,40-59,24JUL20
ALABAMA,01,0100013,AL-205,Trussville City,362,98,,,8,GE50,51,GE90,8,GE50,8,GE50,287,GE95,17,GE80,27,GE80,1,PS,,,,,24JUL20
ALABAMA,01,0100030,AL-102,Alexander City,195,90-94,2,PS,2,PS,77,GE95,,,,,114,90-94,21,GE80,96,90-94,,,1,PS,1,PS,24JUL20
ALABAMA,01,0100060,AL-104,Andalusia City,107,GE95,,,1,PS,27,GE80,3,PS,,,76,GE95,9,GE50,46,GE90,,,1,PS,,,24JUL20
ALABAMA,01,0100090,AL-105,Anniston City,102,75-79,,,,,94,75-79,5,PS,1,PS,2,PS,8,GE50,70,70-74,1,PS,4,PS,1,PS,24JUL20
ALABAMA,01,0100100,AL-106,Arab City,167,GE95,3,PS,3,PS,1,PS,3,PS,3,PS,154,GE95,15,GE50,43,GE90,,,1,PS,,,24JUL20
ALABAMA,01,0100120,AL-107,Athens City,300,91,2,PS,6,GE50,54,GE90,46,80-89,10,GE50,182,90-94,29,60-79,110,80-84,,,9,LT50,10,LT50,24JUL20
ALABAMA,01,0100180,AL-109,Attalla City,146,90-94,,,,,25,GE80,12,GE50,7,GE50,102,GE95,17,GE80,91,90-94,,,10,GE50,3,PS,24JUL20
ALABAMA,01,0100185,AL-187,Saraland City,238,94,3,PS,5,PS,48,GE90,8,GE50,8,GE50,166,GE95,25,60-79,111,85-89,1,PS,1,PS,2,PS,24JUL20
ALABAMA,01,0100188,AL-121,Chickasaw City,52,80-89,,,,,34,80-89,3,PS,,,15,GE50,8,GE50,29,GE80,,,1,PS,2,PS,24JUL20
